Metric,Cluster_0,Cluster_1
n_points,42,1
Fe_at%,3.07,0.36
Mg_at%,10.08,1.81
Ca_at%,5.92,0.81
Al_at%,4.17,0.86
Si_at%,16.65,32.77
O_at%,60.09,63.39
Fe_std_at%,0.34,0.0
Mg_std_at%,0.53,0.0
Ca_std_at%,0.29,0.0
Al_std_at%,0.22,0.0
Si_std_at%,0.79,0.0
O_std_at%,1.09,0.0
Fe_w%,7.64,0.96
Mg_w%,10.91,2.1
Ca_w%,10.57,1.55
Al_w%,5.02,1.11
Si_w%,20.83,43.96
O_w%,42.83,48.44
Fe_std_w%,0.82,0.0
Mg_std_w%,0.65,0.0
Ca_std_w%,0.51,0.0
Al_std_w%,0.29,0.0
Si_std_w%,1.0,0.0
O_std_w%,1.26,0.0
RMS_dist_at%,1.51,0.0
RMS_dist_w%,1.98,0.0
wcss_at%,96.21,0.0
Cnd1,Fe0.156Mg0.538Ca0.305Al0.204Si0.847O3,SiO2
CS_cnd1,0.95,0.41
CS_raw1,0.95,0.41
Mix1,,"Fe0.156Mg0.538Ca0.305Al0.204Si0.847O3, SiO2"
CS_mix1,,0.96
Mol_Ratio1,,0.08
X1_mean1,,0.08
X1_stdev1,,0.0
