Spectrum #,Particle #,Frame ID,Cluster_ID,Fe_at%,Mg_at%,Ca_at%,Al_at%,Si_at%,O_at%,An er w%,Fe_w%,Mg_w%,Ca_w%,Al_w%,Si_w%,O_w%,r_squared,redchi_sq,Quant_flag,Comments
0,1,,0,3.09,10.37,6.1,4.29,17.03,59.11,-3.81,7.51,10.97,10.65,5.05,20.83,41.18,0.99882,42.6,0,
1,2,,0,3.16,9.4,5.94,3.96,16.33,61.21,-4.91,7.68,9.93,10.34,4.65,19.93,42.57,0.99879,37.0,0,
2,4,,,3.16,9.25,5.94,3.74,17.36,60.56,-5.3,7.6,9.69,10.26,4.35,21.02,41.78,0.99875,48.0,8,too low
3,4,,,1.9,6.34,3.9,2.78,23.24,61.84,-18.66,4.04,5.87,5.96,2.86,24.88,37.72,0.99881,43.7,0,
4,4,,,3.07,8.57,5.43,3.85,18.11,60.97,11.86,8.78,10.66,11.14,5.32,26.03,49.93,0.99785,70.3,8,too low
5,4,,,3.37,9.66,6.03,3.89,17.08,59.97,2.59,8.74,10.91,11.22,4.88,22.29,44.57,0.99897,38.4,8,too low
6,4,,,2.36,7.3,4.31,3.08,21.74,61.22,-15.51,5.17,6.96,6.77,3.25,23.93,38.4,0.99865,42.7,0,
7,5,,0,3.25,10.55,6.51,4.43,16.93,58.33,-3.09,7.89,11.16,11.36,5.2,20.69,40.61,0.99885,42.8,0,
8,5,,0,3.12,10.4,5.94,4.22,16.48,59.85,-2.0,7.76,11.26,10.61,5.07,20.63,42.67,0.99881,42.8,0,
9,9,,,1.81,8.18,2.92,3.62,18.69,64.78,-14.17,4.17,8.22,4.84,4.04,21.7,42.85,0.9968,92.0,0,
10,9,,,2.13,6.59,4.1,3.05,19.44,64.69,-31.82,3.84,5.18,5.32,2.67,17.67,33.5,0.99235,231.9,4,poor fit
11,10,,,3.27,7.15,5.02,3.27,21.98,59.31,-32.87,5.55,5.27,6.11,2.68,18.73,28.79,0.99858,41.0,7,C 8985 counts > 10 % of total counts
12,12,,,3.71,8.81,5.64,3.64,19.72,58.48,-20.67,7.35,7.6,8.02,3.48,19.66,33.22,0.9983,44.4,7,C 5266 counts > 10 % of total counts
13,12,,,3.41,8.11,5.6,3.62,20.45,58.81,-28.98,6.08,6.29,7.16,3.11,18.33,30.04,0.99852,42.6,7,C 9028 counts > 10 % of total counts
14,19,,0,2.59,9.65,5.55,3.83,15.25,63.12,-3.27,6.53,10.59,10.04,4.67,19.33,45.58,0.99812,48.2,-1,too low - Quantification did not converge.
15,19,,0,3.33,10.03,6.24,4.15,16.73,59.5,-1.09,8.32,10.89,11.18,5.0,20.99,42.52,0.99876,38.7,0,
16,19,,0,2.43,10.32,5.39,4.32,15.95,61.59,-1.25,6.22,11.51,9.91,5.35,20.56,45.21,0.9992,29.9,0,
17,19,,0,2.71,10.71,5.69,4.33,16.31,60.26,-3.6,6.69,11.52,10.09,5.16,20.27,42.67,0.9992,33.6,0,
18,19,,0,3.08,10.05,6.09,4.08,16.17,60.53,-0.36,7.81,11.1,11.08,5.0,20.64,44.0,0.99816,49.9,0,
19,21,,,2.94,9.87,5.73,3.84,17.91,59.71,-5.46,7.06,10.33,9.88,4.46,21.66,41.14,0.99873,45.8,0,
20,21,,,3.37,10.62,6.55,4.72,19.11,55.62,-8.39,7.63,10.45,10.63,5.16,21.72,36.02,0.99823,41.0,0,
21,21,,,2.55,6.74,3.96,3.08,25.5,58.17,-40.98,3.84,4.4,4.27,2.24,19.26,25.03,0.99845,50.9,7,C 9502 counts > 10 % of total counts
22,21,,,3.41,9.88,5.86,4.1,16.25,60.51,-7.0,8.04,10.15,9.92,4.68,19.29,40.92,0.99881,33.2,0,
23,21,,,2.83,8.69,4.92,3.64,19.68,60.24,-19.5,5.83,7.79,7.27,3.63,20.4,35.57,0.9988,36.5,7,C 6082 counts > 10 % of total counts
24,24,,0,2.95,10.66,6.21,4.49,16.5,59.18,-2.82,7.27,11.42,10.98,5.34,20.43,41.74,0.99869,48.3,0,
25,24,,0,2.67,9.97,5.47,4.2,15.69,61.99,-4.53,6.61,10.73,9.71,5.02,19.5,43.91,0.99885,48.4,0,
26,24,,0,3.29,10.27,5.87,4.3,15.62,60.64,-2.38,8.18,11.11,10.47,5.16,19.52,43.17,0.99859,52.3,0,
27,24,,,3.49,9.86,6.0,4.09,16.5,60.05,0.46,8.86,10.9,10.94,5.01,21.07,43.68,0.99881,44.2,8,too low
28,24,,,3.05,10.29,6.22,4.41,16.54,59.49,-1.22,7.63,11.21,11.17,5.33,20.81,42.63,0.99891,38.6,8,too low
29,27,,,2.78,10.28,5.83,4.31,16.44,60.36,-3.58,6.86,11.04,10.32,5.14,20.4,42.67,0.99908,37.8,8,too low
30,27,,0,3.02,10.46,5.8,4.34,16.3,60.07,1.51,7.81,11.78,10.77,5.43,21.21,44.51,0.99906,33.5,0,
31,27,,0,2.78,10.13,5.71,4.28,16.01,61.09,-4.86,6.81,10.77,10.02,5.05,19.69,42.79,0.99894,40.0,0,
