Spectrum #,Particle #,Frame ID,Cluster_ID,Mg_at%,Al_at%,O_at%,An er w%,Mg_w%,Al_w%,O_w%,r_squared,redchi_sq,Quant_flag,Comments
0,2,,,0.07,81.12,18.81,-22.75,0.06,67.87,9.33,0.99924,89.2,0,
1,2,,,0.04,86.96,12.99,-21.13,0.03,72.42,6.42,0.99919,96.8,0,
2,4,,,,,,,,,,,,2,Total counts too low
3,5,,,0.0,76.03,23.97,-47.02,0.0,44.63,8.34,0.99887,76.7,7,C 6251 counts > 10 % of total counts
4,8,,,34.04,11.29,54.67,-13.31,35.74,13.16,37.79,0.9993,37.3,0,
5,8,,,39.94,7.36,52.7,-15.38,40.81,8.35,35.45,0.99942,33.9,0,
6,8,,,36.96,9.03,54.01,-15.44,37.86,10.27,36.43,0.99934,39.8,7,C 5865 counts > 10 % of total counts
7,8,,0,28.65,19.09,52.26,3.78,35.29,26.11,42.38,0.9993,36.1,0,
8,8,,,48.24,6.22,45.54,27.04,71.99,10.31,44.73,0.99915,55.8,0,
9,11,,,,,,,,,,,,2,Total counts too low
10,14,,,0.03,85.52,14.45,-25.22,0.02,67.94,6.81,0.99949,62.6,0,
11,14,,,,,,,,,,,,4,poor fit
12,14,,,1.99,62.5,35.51,-27.43,1.53,53.14,17.9,0.99905,74.6,0,
13,14,,,0.17,41.97,57.87,-27.65,0.14,39.73,32.48,0.99914,57.4,0,
14,14,,,,,,,,,,,,4,poor fit
15,16,,,30.02,14.36,55.62,-8.54,33.25,17.66,40.56,0.99936,32.6,0,
16,16,,,,,,,,,,,,2,Total counts too low
17,17,,0,3.28,39.39,57.32,1.2,3.92,52.22,45.06,0.99942,45.3,0,
18,17,,,6.18,37.83,55.99,7.05,7.78,52.87,46.4,0.99935,42.9,0,
19,18,,,,,,,,,,,,2,Total counts too low
20,19,,,,,,,,,,,,2,Total counts too low
21,21,,,42.39,3.78,53.83,-14.47,44.2,4.38,36.95,0.99916,60.7,0,
22,21,,,10.89,30.3,58.81,-8.7,11.95,36.89,42.46,0.99912,39.9,0,
23,21,,,38.37,8.1,53.53,-9.86,41.87,9.82,38.45,0.99882,71.8,0,
24,21,,,40.47,6.16,53.38,-6.57,45.86,7.75,39.82,0.99941,38.5,0,
25,21,,,23.0,19.65,57.35,-6.69,25.99,24.65,42.66,0.99873,54.8,0,
26,23,,0,10.1,32.83,57.07,-3.41,11.6,41.85,43.14,0.99945,37.9,0,
27,23,,,24.5,20.86,54.64,-9.58,26.49,25.04,38.89,0.99943,32.5,0,
28,23,,,15.18,28.31,56.5,-10.61,16.2,33.52,39.67,0.99914,40.7,0,
29,23,,0,16.49,26.91,56.6,-2.83,19.16,34.72,43.29,0.99911,48.1,0,
30,24,,0,2.32,38.54,59.14,1.75,2.81,51.8,47.13,0.99932,50.7,0,
31,24,,,1.54,39.2,59.26,5.56,1.93,54.64,48.98,0.99929,56.9,0,
32,24,,0,2.63,36.01,61.36,2.65,3.25,49.45,49.96,0.9993,52.3,0,
33,24,,0,8.51,32.67,58.82,-1.39,10.06,42.83,45.72,0.99924,57.9,0,
34,24,,,5.0,36.64,58.36,5.85,6.3,51.19,48.36,0.99921,61.1,0,
35,27,,,8.76,35.75,55.49,8.69,11.21,50.76,46.72,0.99901,58.4,0,
36,27,,0,23.12,22.41,54.46,-3.04,26.74,28.77,41.46,0.99935,38.6,0,
37,27,,0,5.74,36.81,57.45,1.55,6.91,49.15,45.49,0.99938,41.8,0,
38,27,,0,1.93,39.24,58.84,4.92,2.4,54.27,48.25,0.99938,51.5,0,
39,27,,0,20.46,23.16,56.39,-3.08,23.81,29.92,43.2,0.99923,38.0,0,
40,28,,,47.43,7.37,45.2,39.92,77.75,13.4,48.77,0.99928,49.4,0,
41,28,,,40.9,7.63,51.47,-9.15,44.64,9.24,36.97,0.99925,55.6,0,
42,28,,0,30.91,14.77,54.32,-4.84,35.41,18.79,40.96,0.99938,32.7,0,
43,28,,,10.79,35.83,53.38,13.4,14.27,52.63,46.5,0.99945,33.0,0,
44,28,,0,10.32,33.08,56.6,2.16,12.51,44.5,45.15,0.99955,27.4,0,
45,30,,,0.17,41.47,58.36,-16.08,0.17,45.66,38.1,0.99932,56.8,0,
46,30,,,0.14,43.08,56.79,-13.95,0.14,48.22,37.69,0.99957,30.6,0,
47,30,,,,41.66,58.34,-21.07,,43.12,35.81,0.99945,39.5,0,
48,31,,0,3.71,35.12,61.16,-3.92,4.3,45.15,46.62,0.99904,66.9,0,
49,31,,,,,,,,,,,,6,excessive X-ray absorption
50,31,,,5.33,35.3,59.37,-5.56,6.02,44.27,44.15,0.99949,31.8,0,
51,31,,,11.18,28.91,59.91,-9.97,12.17,34.94,42.92,0.99909,52.9,0,
52,31,,0,14.88,26.53,58.59,-3.03,17.41,34.45,45.11,0.99953,25.7,0,
53,32,,0,35.46,12.04,52.5,-0.76,42.2,15.91,41.13,0.9993,48.2,0,
54,32,,0,35.91,10.97,53.12,0.39,43.4,14.72,42.26,0.99954,32.4,0,
55,32,,,20.87,24.27,54.86,-7.17,23.08,29.8,39.94,0.99934,40.5,0,
56,32,,,31.54,13.26,55.2,-6.48,35.71,16.67,41.15,0.9995,30.9,0,
