Spectrum #,Particle #,Frame ID,Cluster_ID,Pb_at%,Mo_at%,O_at%,An er w%,Pb_w%,Mo_w%,O_w%,r_squared,redchi_sq,Quant_flag,Comments
0,1,,0,16.54,17.04,66.43,-0.39,55.74,26.59,17.29,0.99615,58.3,0,
1,1,,0,17.55,16.72,65.73,4.83,60.59,26.73,17.52,0.99675,50.0,0,
2,1,,0,16.47,17.86,65.67,0.58,55.57,27.9,17.11,0.99651,57.9,0,
3,1,,0,18.55,16.13,65.32,3.86,62.03,24.97,16.86,0.99735,42.6,0,
4,1,,0,15.96,15.08,68.96,0.07,56.49,24.73,18.85,0.99621,52.3,0,
5,2,,0,16.38,15.49,68.13,0.21,56.97,24.95,18.29,0.99582,62.8,0,
6,2,,,25.71,28.52,45.77,-19.37,48.84,25.08,6.71,0.96105,982.0,4,poor fit
7,2,,0,18.47,15.52,66.01,1.51,60.97,23.72,16.82,0.99663,54.7,0,
8,2,,0,16.82,16.86,66.32,-2.25,55.28,25.65,16.83,0.9962,59.6,0,
9,2,,,10.12,10.61,79.27,10.75,53.0,25.71,32.04,0.99738,42.6,6,excessive X-ray absorption
10,3,,,11.62,11.65,76.72,13.04,57.26,26.59,29.19,0.9965,48.9,6,excessive X-ray absorption
11,3,,0,18.46,16.17,65.37,3.95,61.9,25.11,16.93,0.99668,53.4,0,
12,3,,0,15.89,18.0,66.11,2.86,55.74,29.22,17.9,0.99763,36.6,0,
13,3,,,17.4,16.67,65.92,5.15,60.57,26.86,17.72,0.99675,53.3,0,
14,3,,0,17.69,16.52,65.79,-0.14,58.07,25.12,16.68,0.99725,47.9,0,
15,4,,0,17.19,15.06,67.75,2.15,59.73,24.24,18.18,0.99672,45.7,0,
16,4,,0,19.07,15.87,65.07,1.96,61.84,23.83,16.3,0.9971,42.7,0,
17,4,,0,17.77,17.21,65.02,2.88,59.43,26.66,16.79,0.99741,42.0,0,
18,4,,0,15.84,15.97,68.19,-0.34,55.39,25.86,18.42,0.996,58.8,0,
19,4,,0,16.96,17.89,65.16,-0.97,55.48,27.09,16.46,0.99681,44.2,0,
20,5,,0,16.25,15.94,67.81,-1.54,55.42,25.18,17.86,0.99738,44.0,0,
21,5,,,17.16,15.64,67.19,6.65,61.85,26.1,18.7,0.99707,47.3,0,
22,5,,0,16.23,16.79,66.98,1.75,56.6,27.11,18.04,0.99659,52.1,0,
23,5,,0,15.93,15.65,68.42,-1.98,54.86,24.96,18.2,0.99679,45.6,0,
24,5,,0,16.9,16.52,66.58,3.87,59.13,26.76,17.99,0.99649,62.8,0,
25,6,,,11.98,12.23,75.79,23.0,62.71,29.65,30.64,0.99578,68.0,6,excessive X-ray absorption
26,6,,,14.72,14.35,70.94,5.43,57.81,26.1,21.52,0.99715,53.5,6,excessive X-ray absorption
27,6,,,12.51,12.89,74.6,14.89,59.29,28.29,27.31,0.99709,46.8,6,excessive X-ray absorption
28,6,,0,15.59,15.25,69.17,-2.32,54.4,24.64,18.64,0.99666,49.5,0,
29,6,,0,18.35,16.2,65.45,0.92,59.92,24.5,16.5,0.99705,47.0,0,
30,7,,0,19.02,16.29,64.69,4.03,62.7,24.86,16.47,0.99682,53.9,0,
31,7,,0,17.2,15.3,67.49,1.8,59.37,24.45,17.98,0.99701,42.6,0,
32,7,,0,20.05,17.22,62.73,2.7,62.65,24.92,15.13,0.99764,46.2,0,
33,7,,0,16.66,18.05,65.3,-0.93,54.9,27.55,16.62,0.99683,44.5,0,
34,8,,,16.4,15.7,67.9,10.09,62.44,27.69,19.96,0.99711,45.1,6,excessive X-ray absorption
35,8,,,42.52,42.54,14.95,43.78,96.47,44.69,2.62,0.8699,1127.6,4,poor fit
36,8,,,47.32,44.57,8.11,302.14,277.46,121.01,3.67,0.9412,777.3,4,poor fit
37,8,,,16.59,14.66,68.75,6.52,61.61,25.2,19.71,0.99717,46.6,6,excessive X-ray absorption
38,8,,0,17.28,16.58,66.14,2.25,58.78,26.1,17.37,0.99723,45.5,0,
39,9,,0,15.89,14.75,69.36,0.86,57.09,24.53,19.24,0.99667,45.3,0,
40,9,,0,15.93,15.66,68.4,-3.43,54.05,24.6,17.92,0.99621,56.2,0,
41,9,,0,16.04,15.31,68.65,-1.69,55.46,24.52,18.33,0.99695,43.0,0,
42,10,,,12.4,11.01,76.59,22.81,65.04,26.74,31.03,0.99631,57.5,6,excessive X-ray absorption
43,10,,,47.52,49.34,3.13,402.06,337.89,162.44,1.72,0.97419,607.1,4,poor fit
44,10,,,12.42,11.44,76.14,15.17,60.64,25.84,28.69,0.9963,52.8,6,excessive X-ray absorption
45,10,,,6.39,6.13,87.48,28.71,51.45,22.87,54.39,0.99282,85.0,6,excessive X-ray absorption
46,12,,0,17.27,16.68,66.05,-0.05,57.37,25.64,16.94,0.99694,48.2,0,
47,12,,0,18.08,15.47,66.45,2.31,60.89,24.13,17.28,0.99694,45.4,0,
48,12,,0,15.05,17.03,67.92,-2.64,51.99,27.25,18.12,0.99607,58.5,0,
49,12,,0,16.37,14.97,68.66,-1.05,56.64,23.97,18.34,0.99646,48.7,0,
50,12,,0,18.3,16.36,65.34,-1.65,58.21,24.09,16.05,0.99674,49.8,0,
51,13,,0,16.36,15.74,67.91,0.6,56.96,25.38,18.26,0.9966,52.1,0,
52,13,,0,18.32,17.84,63.85,-4.38,55.59,25.06,14.96,0.99642,55.9,0,
53,14,,,15.49,16.38,68.13,-6.48,51.12,25.03,17.36,0.9967,44.0,0,
54,14,,,17.64,16.74,65.62,5.89,61.33,26.94,17.62,0.99711,51.3,0,
55,15,,0,16.41,15.27,68.32,2.56,58.52,25.22,18.82,0.99707,38.3,0,
56,15,,,,,,,,,,,,2,Total counts too low
57,16,,0,19.17,15.0,65.83,0.51,61.75,22.38,16.38,0.9968,48.5,0,
58,16,,,14.64,15.56,69.8,9.54,58.88,28.99,21.68,0.9956,66.4,0,
59,16,,0,15.6,16.72,67.68,-0.55,54.31,26.95,18.2,0.997,43.9,0,
60,16,,0,17.3,16.09,66.6,-0.03,57.86,24.92,17.2,0.99731,45.1,0,
61,16,,,5.52,6.04,88.45,-65.48,12.58,6.37,15.57,0.99964,39.6,7,C 30102 counts > 10 % of total counts
62,17,,,16.14,14.81,69.05,3.33,58.87,25.01,19.45,0.99712,54.9,6,excessive X-ray absorption
63,17,,,14.78,14.02,71.2,0.61,55.56,24.39,20.66,0.99431,65.7,6,excessive X-ray absorption
64,17,,0,18.33,17.04,64.63,3.77,60.95,26.24,16.59,0.99754,42.4,0,
65,18,,0,15.69,16.03,68.27,-1.17,54.63,25.84,18.35,0.99704,44.2,0,
66,19,,0,18.44,15.07,66.49,3.43,62.43,23.62,17.38,0.99681,47.6,0,
67,19,,0,15.12,16.45,68.43,-2.96,52.37,26.37,18.3,0.99615,48.1,0,
68,19,,0,16.76,16.38,66.86,-3.56,54.77,24.79,16.88,0.9963,50.9,0,
69,19,,0,15.39,16.58,68.02,-0.04,54.33,27.1,18.54,0.99584,54.2,0,
70,19,,0,16.07,15.2,68.73,0.71,56.95,24.95,18.81,0.99676,44.5,0,
71,20,,,13.99,14.94,71.07,-6.34,49.65,24.54,19.47,0.99767,50.3,7,C 9973 counts > 10 % of total counts
72,20,,0,16.02,15.58,68.4,1.52,57.02,25.69,18.81,0.99709,45.4,0,
73,21,,,16.93,15.2,67.88,18.99,68.96,28.67,21.36,0.99714,45.6,6,excessive X-ray absorption
74,21,,,7.89,8.16,83.95,13.52,49.35,23.63,40.54,0.99386,76.0,6,excessive X-ray absorption
75,23,,0,18.07,15.04,66.89,2.18,61.14,23.56,17.48,0.99711,43.8,0,
76,23,,0,17.92,16.26,65.83,1.6,59.63,25.06,16.92,0.99529,74.2,0,
77,23,,0,17.22,16.51,66.26,-1.88,56.36,25.02,16.74,0.9962,57.7,0,
78,24,,0,16.14,17.02,66.84,-2.39,53.98,26.36,17.26,0.99649,49.8,0,
79,24,,0,17.0,15.3,67.7,-0.38,57.78,24.07,17.77,0.99597,59.7,0,
80,24,,0,17.05,14.89,68.06,1.83,59.46,24.04,18.33,0.9967,45.6,0,
81,24,,0,16.14,16.18,67.68,2.92,57.57,26.71,18.64,0.99656,53.2,0,
82,24,,0,15.0,15.0,70.0,-1.41,54.07,25.04,19.49,0.99659,44.3,0,
83,25,,0,17.06,16.55,66.39,0.59,57.49,25.83,17.27,0.99647,52.2,0,
84,25,,0,16.73,15.72,67.54,0.6,57.59,25.06,17.95,0.99644,50.3,0,
85,25,,0,16.18,16.53,67.3,-3.11,53.99,25.54,17.35,0.99618,59.0,0,
86,25,,0,19.46,15.71,64.83,2.12,62.62,23.4,16.1,0.99682,49.9,0,
87,25,,0,14.51,15.99,69.5,0.35,53.38,27.23,19.74,0.99678,43.7,0,
88,26,,0,16.33,16.53,67.15,-1.31,55.25,25.9,17.55,0.99725,41.3,0,
89,26,,0,18.5,14.76,66.74,4.32,63.29,23.39,17.64,0.9969,48.9,0,
90,26,,,15.75,16.54,67.71,7.38,59.05,28.72,19.61,0.99714,50.8,0,
91,26,,0,16.27,16.29,67.44,-1.75,55.09,25.53,17.63,0.99678,47.7,0,
92,26,,0,16.54,15.62,67.84,1.03,57.6,25.19,18.24,0.99733,43.9,0,
93,27,,0,15.98,15.09,68.94,-2.06,55.32,24.19,18.43,0.99672,46.9,0,
94,28,,0,14.67,16.23,69.1,-0.68,52.94,27.13,19.25,0.99655,44.9,0,
95,28,,,13.58,10.74,75.68,-5.43,52.64,19.28,22.65,0.99337,91.8,0,
96,28,,,13.34,13.72,72.94,-5.98,49.53,23.58,20.91,0.99377,84.2,0,
97,28,,,13.84,12.28,73.89,-5.03,52.09,21.4,21.48,0.99389,87.6,0,
98,30,,0,18.18,16.56,65.27,0.19,58.97,24.87,16.35,0.99764,41.9,0,
99,30,,0,15.31,15.69,69.01,-2.68,53.4,25.34,18.59,0.99638,48.5,0,
100,30,,0,17.52,15.35,67.13,0.42,59.02,23.94,17.46,0.99579,59.1,0,
101,30,,,12.92,15.04,72.03,12.31,57.03,30.74,24.54,0.99523,71.7,6,excessive X-ray absorption
102,30,,0,15.41,15.54,69.04,0.28,55.32,25.83,19.13,0.99639,53.7,0,
